apartment_id,rooms,Model,Floor,size,balcony,availability
1,4,L,1,80,20,sold
2,4,L,1,80,20,available
3,2,S,1,50,0,available
4,4,L,1,80,20,sold
5,4,L,1,80,20,available
6,2,S,1,50,0,sold
7,4,L,2,80,20,sold
8,4,L,2,80,20,available
9,2,S,2,50,0,sold
10,4,L,2,80,20,sold
11,4,L,2,80,20,sold
12,2,S,2,50,0,sold
13,4,L,3,80,20,available
14,4,L,3,80,20,available
15,2,S,3,50,0,sold
16,4,L,3,80,20,available
17,4,L,3,80,20,sold
18,2,S,3,50,0,sold
19,4,L,4,80,20,available
20,4,L,4,80,20,available
21,2,S,4,50,0,available
22,4,L,4,80,20,sold
23,4,L,4,80,20,available
24,2,S,4,50,0,sold
25,4,L,5,80,20,available
26,4,L,5,80,20,available
27,2,S,5,50,0,sold
28,4,L,5,80,20,available
29,4,L,5,80,20,available
30,2,S,5,50,0,available
31,4,L,6,80,20,available
32,4,L,6,80,20,available
33,2,S,6,50,0,available
34,4,L,6,80,20,available
35,4,L,6,80,20,available
36,2,S,6,50,0,available
37,4,L,7,80,20,sold
38,4,L,7,80,20,sold
39,2,S,7,50,0,available
40,4,L,7,80,20,available
41,4,L,7,80,20,sold
42,2,S,7,50,0,available
43,4,L,8,80,20,available
44,4,L,8,80,20,sold
45,2,S,8,50,0,available
46,4,L,8,80,20,available
47,4,L,8,80,20,sold
48,2,S,8,50,0,available
49,4,L,9,80,20,sold
50,4,L,9,80,20,available
51,2,S,9,50,0,sold
52,4,L,9,80,20,available
53,4,L,9,80,20,sold
54,2,S,9,50,0,available
55,4,L,10,80,20,sold
56,4,L,10,80,20,sold
57,2,S,10,50,0,available
58,4,L,10,80,20,available
59,4,L,10,80,20,available
60,2,S,10,50,0,sold
61,4,L,11,80,20,sold
62,4,L,11,80,20,available
63,6,XL,11,120,40,sold
64,6,XL,11,120,40,available
65,4,L,12,80,20,available
66,4,L,12,80,20,sold
67,2,S,12,50,0,sold
68,4,L,12,80,20,sold
69,4,L,12,80,20,available
70,2,S,12,50,0,sold
71,4,L,13,80,20,available
72,4,L,13,80,20,sold
73,6,XL,13,120,40,sold
74,6,XL,13,120,40,sold
75,4,L,14,80,20,available
76,4,L,14,80,20,sold
77,2,S,14,50,0,available
78,4,L,14,80,20,available
79,4,L,14,80,20,sold
80,2,S,14,50,0,sold
81,4,L,15,80,20,available
82,4,L,15,80,20,sold
83,6,XL,15,120,40,available
84,6,XL,15,120,40,sold
85,4,L,16,80,20,available
86,4,L,16,80,20,available
87,2,S,16,50,0,sold
88,4,L,16,80,20,available
89,4,L,16,80,20,available
90,2,S,16,50,0,available
91,4,L,17,80,20,sold
92,4,L,17,80,20,available
93,6,XL,17,120,40,sold
94,6,XL,17,120,40,sold
95,4,L,18,80,20,sold
96,4,L,18,80,20,available
97,2,S,18,50,0,sold
98,4,L,18,80,20,sold
99,4,L,18,80,20,available
100,2,S,18,50,0,sold
101,4,L,19,80,20,sold
102,4,L,19,80,20,sold
103,6,XL,19,120,40,sold
104,6,XL,19,120,40,available
105,4,L,20,80,20,available
106,4,L,20,80,20,sold
107,2,S,20,50,0,available
108,4,L,20,80,20,sold
109,4,L,20,80,20,sold
110,16,XXL,20,220,60,available
111,16,XXL,21,220,60,available
112,16,XXL,22,220,60,available
113,16,XXL,23,220,60,available
114,16,XXL,24,220,60,available
115,22,P,25,400,100,available
