SequenceNumber;SwingPhase;StickGlovePlane_X;StickGlovePlane_Y;StickGlovePlane_Z;FilterItem;FilterValue
1953;1;-0,009403368;-0,100235491;-0,078825567;StickGloveNormal_X;0,073542297
1954;1;-0,009419728;-0,100409885;-0,078962711;StickGloveNormal_Y;0,783926419
1955;1;-0,009436101;-0,100584412;-0,07909996;StickGloveNormal_Z;0,616482684
1956;1;-0,00945273;-0,100761669;-0,079239355;;
1957;1;-0,009468697;-0,100931876;-0,079373207;;
1958;1;-0,009484679;-0,101102228;-0,079507172;;
1959;1;-0,009500903;-0,101275168;-0,079643173;;
1960;1;-0,009516989;-0,101446643;-0,079778022;;
1961;1;-0,009531146;-0,101597553;-0,079896698;;
1962;1;-0,009545291;-0,101748331;-0,08001527;;
1963;1;-0,009559431;-0,101899058;-0,080133803;;
1964;1;-0,009573662;-0,102050751;-0,080253094;;
1965;1;-0,009589325;-0,102217711;-0,080384392;;
1966;1;-0,009603096;-0,102364507;-0,080499833;;
1967;1;-0,009616807;-0,102510657;-0,080614766;;
1968;1;-0,009629888;-0,102650094;-0,08072442;;
1969;1;-0,00964301;-0,102789963;-0,080834413;;
1970;1;-0,009656988;-0,102938962;-0,080951586;;
1971;1;-0,009670809;-0,103086296;-0,081067451;;
1972;1;-0,009682542;-0,103211358;-0,0811658;;
1973;1;-0,009694242;-0,103336079;-0,081263881;;
1974;1;-0,009705778;-0,103459048;-0,081360584;;
1975;1;-0,009715165;-0,103559106;-0,08143927;;
1976;1;-0,009724635;-0,103660052;-0,081518655;;
1977;1;-0,009735609;-0,103777027;-0,081610644;;
1978;1;-0,009748721;-0,103916796;-0,081720559;;
1979;1;-0,009794379;-0,104403487;-0,082103295;;
1980;1;-0,009854657;-0,105046027;-0,08260859;;
1981;1;-0,009910786;-0,105644329;-0,083079098;;
1982;1;-0,00990655;-0,105599184;-0,083043595;;
1983;1;-0,009902346;-0,105554365;-0,08300835;;
1984;1;-0,009897907;-0,105507053;-0,082971143;;
1985;1;-0,009895272;-0,105478966;-0,082949056;;
1986;1;-0,009918892;-0,105730742;-0,083147053;;
1987;1;-0,00993814;-0,105935918;-0,083308404;;
1988;1;-0,009956929;-0,106136194;-0,083465902;;
1989;1;-0,009969348;-0,106268582;-0,083570013;;
1990;1;-0,009981796;-0,10640127;-0,083674359;;
1991;1;-0,009994437;-0,106536019;-0,083780326;;
1992;1;-0,010007065;-0,106670619;-0,083886176;;
1993;1;-0,010019545;-0,106803656;-0,083990797;;
1994;1;-0,010034459;-0,106962627;-0,084115812;;
1995;1;-0,010049621;-0,107124249;-0,084242912;;
1996;1;-0,010068614;-0,107326703;-0,084402123;;
1997;1;-0,010087499;-0,107528016;-0,084560436;;
1998;1;-0,010104807;-0,107712505;-0,084705519;;
1999;1;-0,010122114;-0,107896996;-0,084850603;;
2000;1;-0,010139346;-0,108080674;-0,084995049;;
2001;1;-0,010156677;-0,108265412;-0,085140327;;
2002;1;-0,010175543;-0,10846652;-0,08529848;;
2003;1;-0,010195261;-0,108676701;-0,085463766;;
2004;1;-0,01021482;-0,10888519;-0,085627723;;
2005;1;-0,010232287;-0,109071384;-0,085774147;;
2006;1;-0,010249675;-0,109256737;-0,085919909;;
2007;1;-0,010266211;-0,109432997;-0,08605852;;
2008;1;-0,010282639;-0,109608109;-0,086196229;;
2009;1;-0,010297746;-0,109769142;-0,086322866;;
2010;1;-0,010310153;-0,1099014;-0,086426875;;
2011;1;-0,010322371;-0,110031641;-0,086529296;;
2012;1;-0,010332359;-0,110138109;-0,086613023;;
2013;1;-0,01034222;-0,110243216;-0,08669568;;
2014;1;-0,010350837;-0,11033507;-0,086767914;;
2015;1;-0,010359273;-0,110425;-0,086838635;;
2016;1;-0,010365687;-0,110493363;-0,086892396;;
2017;1;-0,01036951;-0,110534119;-0,086924447;;
2018;1;-0,010373221;-0,110573672;-0,086955551;;
2019;1;-0,010376303;-0,110606522;-0,086981385;;
2020;1;-0,010379074;-0,110636061;-0,087004614;;
2021;1;-0,010378565;-0,11063064;-0,087000351;;
2022;1;-0,010377915;-0,110623708;-0,0869949;;
2023;1;-0,010376299;-0,110606479;-0,086981351;;
2024;1;-0,010370079;-0,110540183;-0,086929215;;
2025;1;-0,010363624;-0,110471372;-0,086875102;;
2026;1;-0,010355409;-0,110383802;-0,086806237;;
2027;1;-0,010346736;-0,110291357;-0,086733538;;
2028;1;-0,010332956;-0,110144467;-0,086618023;;
2029;1;-0,010318748;-0,109993015;-0,08649892;;
2030;1;-0,010299998;-0,109793147;-0,086341743;;
2031;1;-0,010278732;-0,109566467;-0,086163482;;
2032;1;-0,01025711;-0,109335988;-0,085982232;;
2033;1;-0,010233473;-0,109084027;-0,085784089;;
2034;1;-0,010209449;-0,108827944;-0,085582705;;
2035;1;-0,010182312;-0,108538674;-0,085355221;;
2036;1;-0,010154709;-0,108244438;-0,085123833;;
2037;1;-0,010122625;-0,107902442;-0,084854886;;
2038;1;-0,010090738;-0,10756254;-0,084587586;;
2039;1;-0,010063546;-0,10727268;-0,084359639;;
2040;1;-0,010024948;-0,106861243;-0,084036083;;
2041;1;-0,009985382;-0,106439493;-0,083704418;;
2042;1;-0,009934074;-0,10589257;-0,083274315;;
2043;1;-0,009882771;-0,105345702;-0,082844256;;
2044;1;-0,00983445;-0,104830626;-0,082439199;;
2045;1;-0,009785909;-0,104313206;-0,082032298;;
2046;1;-0,00973665;-0,103788124;-0,081619371;;
2047;1;-0,009680526;-0,103189871;-0,081148902;;
2048;1;-0,009624033;-0,102587679;-0,080675337;;
2049;1;-0,009564874;-0,101957076;-0,080179428;;
